clase_real,Brotación / desarrollo foliar,Cosecha / post-cosecha,Envero / maduración,Floración,Senescencia / caída de hojas
Brotación / desarrollo foliar,133,0,4,0,3
Cosecha / post-cosecha,2,98,4,0,10
Envero / maduración,0,8,172,3,2
Floración,2,0,47,0,0
Senescencia / caída de hojas,22,9,2,0,136
