clase_real,Brotación / desarrollo foliar,Cosecha / post-cosecha,Envero / maduración,Floración,Senescencia / caída de hojas
Brotación / desarrollo foliar,120,0,0,4,16
Cosecha / post-cosecha,5,69,17,0,23
Envero / maduración,2,7,164,11,1
Floración,2,0,0,47,0
Senescencia / caída de hojas,20,39,4,0,106
