clase_real,Brotación / desarrollo foliar,Cosecha / post-cosecha,Envero / maduración,Floración,Senescencia / caída de hojas
Brotación / desarrollo foliar,250,0,0,7,9
Cosecha / post-cosecha,14,118,33,0,33
Envero / maduración,2,24,229,13,1
Floración,3,1,0,68,0
Senescencia / caída de hojas,10,53,9,0,214
