clase_real,Brotación / desarrollo foliar,Cosecha / post-cosecha,Envero / maduración,Floración,Senescencia / caída de hojas
Brotación / desarrollo foliar,134,0,4,0,2
Cosecha / post-cosecha,4,91,8,0,11
Envero / maduración,0,7,175,2,1
Floración,2,0,47,0,0
Senescencia / caída de hojas,31,10,3,0,125
