clase_real,Brotación / desarrollo foliar,Cosecha / post-cosecha,Envero / maduración,Floración,Senescencia / caída de hojas
Brotación / desarrollo foliar,125,0,0,4,11
Cosecha / post-cosecha,6,65,17,0,26
Envero / maduración,2,7,164,11,1
Floración,2,0,0,47,0
Senescencia / caída de hojas,14,37,4,0,114
