modelo_datos,validacion,clasificador,fold,fold_id,n_train,n_test,tiempo_entrenamiento_segundos,tiempo_inferencia_segundos,tiempo_total_segundos
aprima,aleatoria,random_forest,5,B268CDE4E48DC3B5DFAE0303AEF90B1F5E84FE2F14345EA4ADEAE37EFFEC974F,526,131,0.4848511000000144,0.05874439999934111,0.5435954999993555
aprima,por_estacion,red_densa,1,8149DBC10B363D51E4970448133FC4325E6C81674F5B338D6510B60A425BF6D5,421,236,4.542213700000502,0.11589780000031169,4.658111500000814
aprima,por_estacion,random_forest,1,8149DBC10B363D51E4970448133FC4325E6C81674F5B338D6510B60A425BF6D5,421,236,0.469275700000253,0.058624199999940174,0.5278999000001932
aprima,por_estacion,red_densa,2,33CD5F705F7E9DFF97A578705CFACC1730B712D4FF357FF7C188384E7825D08E,557,100,3.909620000000359,0.10951889999978448,4.019138900000144
aprima,por_estacion,random_forest,2,33CD5F705F7E9DFF97A578705CFACC1730B712D4FF357FF7C188384E7825D08E,557,100,0.48367570000027627,0.06138280000050145,0.5450585000007777
aprima,por_estacion,red_densa,3,508B03E769684B1A2989E27D136EA599A100F976C46CEA79B435CAB743FA536D,563,94,4.875244500000008,0.11104259999956412,4.986287099999572
aprima,por_estacion,random_forest,3,508B03E769684B1A2989E27D136EA599A100F976C46CEA79B435CAB743FA536D,563,94,0.4976688999995531,0.060426400000324065,0.5580952999998772
aprima,por_estacion,red_densa,4,44DEC11A6362FB6EA7CFEC44A3BD7DC6E71B4D1537E051BFA86089E5694E09E1,546,111,5.084242500000073,0.11373800000001211,5.197980500000085
aprima,por_estacion,random_forest,4,44DEC11A6362FB6EA7CFEC44A3BD7DC6E71B4D1537E051BFA86089E5694E09E1,546,111,0.48682479999934003,0.0602180000005319,0.5470427999998719
aprima,por_estacion,red_densa,5,63B1563304B5AA3AC397E0CA5BA09D04F13725CC8D6383FF0C03ECAC54BF7896,541,116,4.946742000000086,0.11164080000071408,5.0583828000008
aprima,por_estacion,random_forest,5,63B1563304B5AA3AC397E0CA5BA09D04F13725CC8D6383FF0C03ECAC54BF7896,541,116,0.48591620000024704,0.05936199999996461,0.5452782000002117
b,aleatoria,red_densa,1,2A16235335FC6E4578970F1A36436FE0735D6B24B1A1D4A01FCD599EABE48D35,525,132,4.902542600000743,0.11214399999971647,5.014686600000459
b,aleatoria,random_forest,1,2A16235335FC6E4578970F1A36436FE0735D6B24B1A1D4A01FCD599EABE48D35,525,132,0.4871335999996518,0.059249500000078115,0.5463830999997299
b,aleatoria,red_densa,2,5E37846F90A7538F65B130FC79FBB60117BF43FED6E3A6ECC03BC3EA1C047424,525,132,4.293914300000324,0.11607550000007905,4.409989800000403
b,aleatoria,random_forest,2,5E37846F90A7538F65B130FC79FBB60117BF43FED6E3A6ECC03BC3EA1C047424,525,132,0.5035249000002295,0.06008980000024167,0.5636147000004712
b,aleatoria,red_densa,3,57F4B12E5633246B59F3B1AFC161288B23259831EB732E141BA8C17421A286A5,526,131,4.8436482000006436,0.11115260000042326,4.954800800001067
b,aleatoria,random_forest,3,57F4B12E5633246B59F3B1AFC161288B23259831EB732E141BA8C17421A286A5,526,131,0.4844459999994797,0.07022340000003169,0.5546693999995114
b,aleatoria,red_densa,4,1ADF9116676B66BEE01A1F5DF24C8B91AA03B03E0F1220921E3894782A55A57E,526,131,4.5645063000001755,0.11065610000059678,4.675162400000772
b,aleatoria,random_forest,4,1ADF9116676B66BEE01A1F5DF24C8B91AA03B03E0F1220921E3894782A55A57E,526,131,0.48324139999931504,0.06076859999939188,0.5440099999987069
b,aleatoria,red_densa,5,B268CDE4E48DC3B5DFAE0303AEF90B1F5E84FE2F14345EA4ADEAE37EFFEC974F,526,131,4.822944099999404,0.11216510000031121,4.935109199999715
b,aleatoria,random_forest,5,B268CDE4E48DC3B5DFAE0303AEF90B1F5E84FE2F14345EA4ADEAE37EFFEC974F,526,131,0.4922423999996681,0.06042479999996431,0.5526671999996324
b,por_estacion,red_densa,1,8149DBC10B363D51E4970448133FC4325E6C81674F5B338D6510B60A425BF6D5,421,236,4.660264000000097,0.12046620000000985,4.780730200000107
b,por_estacion,random_forest,1,8149DBC10B363D51E4970448133FC4325E6C81674F5B338D6510B60A425BF6D5,421,236,0.4749555999997028,0.06449700000030134,0.5394526000000042
b,por_estacion,red_densa,2,33CD5F705F7E9DFF97A578705CFACC1730B712D4FF357FF7C188384E7825D08E,557,100,5.070776300000034,0.11036860000058368,5.181144900000618
b,por_estacion,random_forest,2,33CD5F705F7E9DFF97A578705CFACC1730B712D4FF357FF7C188384E7825D08E,557,100,0.4918654000002789,0.060461799999757204,0.5523272000000361
b,por_estacion,red_densa,3,508B03E769684B1A2989E27D136EA599A100F976C46CEA79B435CAB743FA536D,563,94,4.130221699999311,0.10874409999996715,4.238965799999278
b,por_estacion,random_forest,3,508B03E769684B1A2989E27D136EA599A100F976C46CEA79B435CAB743FA536D,563,94,0.47943779999968683,0.05021579999993264,0.5296535999996195
b,por_estacion,red_densa,4,44DEC11A6362FB6EA7CFEC44A3BD7DC6E71B4D1537E051BFA86089E5694E09E1,546,111,5.012491200000113,0.10991399999966234,5.1224051999997755
b,por_estacion,random_forest,4,44DEC11A6362FB6EA7CFEC44A3BD7DC6E71B4D1537E051BFA86089E5694E09E1,546,111,0.4877340000002732,0.06154160000005504,0.5492756000003283
b,por_estacion,red_densa,5,63B1563304B5AA3AC397E0CA5BA09D04F13725CC8D6383FF0C03ECAC54BF7896,541,116,4.954441799999586,0.11117099999955826,5.065612799999144
b,por_estacion,random_forest,5,63B1563304B5AA3AC397E0CA5BA09D04F13725CC8D6383FF0C03ECAC54BF7896,541,116,0.49227739999969344,0.05930220000027475,0.5515795999999682
