clase_real,Brotación / desarrollo foliar,Cosecha / post-cosecha,Envero / maduración,Floración,Senescencia / caída de hojas
Brotación / desarrollo foliar,249,0,0,8,9
Cosecha / post-cosecha,14,98,44,0,42
Envero / maduración,4,23,229,11,2
Floración,4,12,4,50,2
Senescencia / caída de hojas,23,48,10,0,205
