clase_real,Brotación / desarrollo foliar,Cosecha / post-cosecha,Envero / maduración,Floración,Senescencia / caída de hojas
Brotación / desarrollo foliar,124,0,4,0,12
Cosecha / post-cosecha,6,67,16,0,25
Envero / maduración,2,9,163,10,1
Floración,2,0,47,0,0
Senescencia / caída de hojas,24,39,4,0,102
