clase_real,Brotación / desarrollo foliar,Cosecha / post-cosecha,Envero / maduración,Floración,Senescencia / caída de hojas
Brotación / desarrollo foliar,135,0,0,3,2
Cosecha / post-cosecha,2,98,5,0,9
Envero / maduración,0,6,168,7,4
Floración,2,0,4,43,0
Senescencia / caída de hojas,7,5,0,0,157
