clase_real,Brotación / desarrollo foliar,Cosecha / post-cosecha,Envero / maduración,Floración,Senescencia / caída de hojas
Brotación / desarrollo foliar,135,0,0,3,2
Cosecha / post-cosecha,3,94,8,0,9
Envero / maduración,0,8,173,2,2
Floración,2,0,1,46,0
Senescencia / caída de hojas,8,7,2,0,152
