modelo_datos,validacion,clasificador,fold,fold_id,n_train,n_clases_presentes_train,clase_codificada,clase,frecuencia_train,peso_clase,peso_aplicado,estrategia,formula,calculado_solo_con_train
a,aleatoria,red_densa,3,4184DC754637AA6B520B6387DBC9DA193485E8C5CF81F27B4071BE250A35F49A,873,5,1,Cosecha / post-cosecha,158,1.1050632911392404,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,3,4184DC754637AA6B520B6387DBC9DA193485E8C5CF81F27B4071BE250A35F49A,873,5,2,Envero / maduración,216,0.8083333333333333,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,3,4184DC754637AA6B520B6387DBC9DA193485E8C5CF81F27B4071BE250A35F49A,873,5,3,Floración,57,3.0631578947368423,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,3,4184DC754637AA6B520B6387DBC9DA193485E8C5CF81F27B4071BE250A35F49A,873,5,4,Senescencia / caída de hojas,229,0.7624454148471616,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,3,4184DC754637AA6B520B6387DBC9DA193485E8C5CF81F27B4071BE250A35F49A,873,5,0,Brotación / desarrollo foliar,213,0.819718309859155,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,3,4184DC754637AA6B520B6387DBC9DA193485E8C5CF81F27B4071BE250A35F49A,873,5,1,Cosecha / post-cosecha,158,1.1050632911392404,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,3,4184DC754637AA6B520B6387DBC9DA193485E8C5CF81F27B4071BE250A35F49A,873,5,2,Envero / maduración,216,0.8083333333333333,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,3,4184DC754637AA6B520B6387DBC9DA193485E8C5CF81F27B4071BE250A35F49A,873,5,3,Floración,57,3.0631578947368423,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,3,4184DC754637AA6B520B6387DBC9DA193485E8C5CF81F27B4071BE250A35F49A,873,5,4,Senescencia / caída de hojas,229,0.7624454148471616,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,4,EF3142E1C3D5633D0273DAD5353BDEBB3BEB7A8A150362E1C6121A4DCAEDD8DC,873,5,0,Brotación / desarrollo foliar,213,0.819718309859155,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,4,EF3142E1C3D5633D0273DAD5353BDEBB3BEB7A8A150362E1C6121A4DCAEDD8DC,873,5,1,Cosecha / post-cosecha,158,1.1050632911392404,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,4,EF3142E1C3D5633D0273DAD5353BDEBB3BEB7A8A150362E1C6121A4DCAEDD8DC,873,5,2,Envero / maduración,215,0.812093023255814,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,4,EF3142E1C3D5633D0273DAD5353BDEBB3BEB7A8A150362E1C6121A4DCAEDD8DC,873,5,3,Floración,58,3.010344827586207,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,4,EF3142E1C3D5633D0273DAD5353BDEBB3BEB7A8A150362E1C6121A4DCAEDD8DC,873,5,4,Senescencia / caída de hojas,229,0.7624454148471616,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,4,EF3142E1C3D5633D0273DAD5353BDEBB3BEB7A8A150362E1C6121A4DCAEDD8DC,873,5,0,Brotación / desarrollo foliar,213,0.819718309859155,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,4,EF3142E1C3D5633D0273DAD5353BDEBB3BEB7A8A150362E1C6121A4DCAEDD8DC,873,5,1,Cosecha / post-cosecha,158,1.1050632911392404,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,4,EF3142E1C3D5633D0273DAD5353BDEBB3BEB7A8A150362E1C6121A4DCAEDD8DC,873,5,2,Envero / maduración,215,0.812093023255814,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,4,EF3142E1C3D5633D0273DAD5353BDEBB3BEB7A8A150362E1C6121A4DCAEDD8DC,873,5,3,Floración,58,3.010344827586207,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,4,EF3142E1C3D5633D0273DAD5353BDEBB3BEB7A8A150362E1C6121A4DCAEDD8DC,873,5,4,Senescencia / caída de hojas,229,0.7624454148471616,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,5,BFFB1ECA744313DF4B7209EDDD3ABCC5FA725D7415841FE4983C80C0FF326DB2,873,5,0,Brotación / desarrollo foliar,213,0.819718309859155,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,5,BFFB1ECA744313DF4B7209EDDD3ABCC5FA725D7415841FE4983C80C0FF326DB2,873,5,1,Cosecha / post-cosecha,158,1.1050632911392404,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,5,BFFB1ECA744313DF4B7209EDDD3ABCC5FA725D7415841FE4983C80C0FF326DB2,873,5,2,Envero / maduración,215,0.812093023255814,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,5,BFFB1ECA744313DF4B7209EDDD3ABCC5FA725D7415841FE4983C80C0FF326DB2,873,5,3,Floración,58,3.010344827586207,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,5,BFFB1ECA744313DF4B7209EDDD3ABCC5FA725D7415841FE4983C80C0FF326DB2,873,5,4,Senescencia / caída de hojas,229,0.7624454148471616,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,5,BFFB1ECA744313DF4B7209EDDD3ABCC5FA725D7415841FE4983C80C0FF326DB2,873,5,0,Brotación / desarrollo foliar,213,0.819718309859155,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,5,BFFB1ECA744313DF4B7209EDDD3ABCC5FA725D7415841FE4983C80C0FF326DB2,873,5,1,Cosecha / post-cosecha,158,1.1050632911392404,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,5,BFFB1ECA744313DF4B7209EDDD3ABCC5FA725D7415841FE4983C80C0FF326DB2,873,5,2,Envero / maduración,215,0.812093023255814,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
