modelo_datos,validacion,clasificador,fold,fold_id,n_train,n_test,estaciones_train,estaciones_test,clases_train,clases_test,clases_ausentes_train,clases_ausentes_test,accuracy,f1_macro,f1_weighted,tiempo_entrenamiento_segundos,tiempo_inferencia_segundos,tiempo_total_segundos,epocas_ejecutadas,early_stopping_detencion
a,por_estacion,random_forest,5,F6C030BFCD52CA4141027C6B42572E417E6212FDFDDF005FB3E547FBF948A63C,857,234,32,9,5,5,,,0.8589743589743589,0.833051659254191,0.860585220078891,0.5011771999998018,0.06898739999996906,0.5701645999997709,,
aprima,aleatoria,red_densa,1,2A16235335FC6E4578970F1A36436FE0735D6B24B1A1D4A01FCD599EABE48D35,525,132,37,34,5,5,,,0.7348484848484849,0.7254464762311459,0.7318703205860246,4.3255583000000115,0.12054729999999836,4.44610560000001,50.0,True
aprima,aleatoria,random_forest,1,2A16235335FC6E4578970F1A36436FE0735D6B24B1A1D4A01FCD599EABE48D35,525,132,37,34,5,5,,,0.9166666666666666,0.8935672986419254,0.9174710861278026,0.5193150000004607,0.06911620000028051,0.5884312000007412,,
aprima,aleatoria,red_densa,2,5E37846F90A7538F65B130FC79FBB60117BF43FED6E3A6ECC03BC3EA1C047424,525,132,38,31,5,5,,,0.7424242424242424,0.7313703838530923,0.7339926537551218,4.4111487000000125,0.11299800000051619,4.524146700000529,52.0,True
aprima,aleatoria,random_forest,2,5E37846F90A7538F65B130FC79FBB60117BF43FED6E3A6ECC03BC3EA1C047424,525,132,38,31,5,5,,,0.8712121212121212,0.8743537923798375,0.8700255905928248,0.495302599999377,0.05991059999996651,0.5552131999993435,,
aprima,aleatoria,red_densa,3,57F4B12E5633246B59F3B1AFC161288B23259831EB732E141BA8C17421A286A5,526,131,37,36,5,5,,,0.8091603053435115,0.8055950400102267,0.8099008090500356,4.914264999999432,0.11668180000015127,5.030946799999583,60.0,False
aprima,aleatoria,random_forest,3,57F4B12E5633246B59F3B1AFC161288B23259831EB732E141BA8C17421A286A5,526,131,37,36,5,5,,,0.8931297709923665,0.8836851136941244,0.8942693168802976,0.502764500000012,0.06349039999986417,0.5662548999998762,,
aprima,aleatoria,red_densa,4,1ADF9116676B66BEE01A1F5DF24C8B91AA03B03E0F1220921E3894782A55A57E,526,131,38,33,5,5,,,0.8549618320610687,0.8530255709203077,0.852311074488656,5.087236000000303,0.1131678000001557,5.200403800000458,60.0,False
aprima,aleatoria,random_forest,4,1ADF9116676B66BEE01A1F5DF24C8B91AA03B03E0F1220921E3894782A55A57E,526,131,38,33,5,5,,,0.9389312977099237,0.9153410436992526,0.9375728015354312,0.48244809999960125,0.061429299999872455,0.5438773999994737,,
aprima,aleatoria,red_densa,5,B268CDE4E48DC3B5DFAE0303AEF90B1F5E84FE2F14345EA4ADEAE37EFFEC974F,526,131,38,33,5,5,,,0.7786259541984732,0.7695475769664528,0.7697289960050517,4.14215779999995,0.11013560000083089,4.252293400000781,49.0,True
aprima,aleatoria,random_forest,5,B268CDE4E48DC3B5DFAE0303AEF90B1F5E84FE2F14345EA4ADEAE37EFFEC974F,526,131,38,33,5,5,,,0.9541984732824428,0.9482694383771435,0.9546630697904754,0.4848511000000144,0.05874439999934111,0.5435954999993555,,
aprima,por_estacion,red_densa,1,8149DBC10B363D51E4970448133FC4325E6C81674F5B338D6510B60A425BF6D5,421,236,31,7,4,5,Floración,,0.6059322033898306,0.5220923782519098,0.546218014019115,4.542213700000502,0.11589780000031169,4.658111500000814,60.0,False
aprima,por_estacion,random_forest,1,8149DBC10B363D51E4970448133FC4325E6C81674F5B338D6510B60A425BF6D5,421,236,31,7,4,5,Floración,,0.614406779661017,0.5529458965004881,0.5563409031381575,0.469275700000253,0.058624199999940174,0.5278999000001932,,
aprima,por_estacion,red_densa,2,33CD5F705F7E9DFF97A578705CFACC1730B712D4FF357FF7C188384E7825D08E,557,100,31,7,5,4,,Floración,0.69,0.5287813620071684,0.6716469534050179,3.909620000000359,0.10951889999978448,4.019138900000144,44.0,True
aprima,por_estacion,random_forest,2,33CD5F705F7E9DFF97A578705CFACC1730B712D4FF357FF7C188384E7825D08E,557,100,31,7,5,4,,Floración,0.95,0.7592708638932895,0.9499766081871346,0.48367570000027627,0.06138280000050145,0.5450585000007777,,
aprima,por_estacion,red_densa,3,508B03E769684B1A2989E27D136EA599A100F976C46CEA79B435CAB743FA536D,563,94,30,8,5,4,,Floración,0.851063829787234,0.669515503875969,0.8498319726208148,4.875244500000008,0.11104259999956412,4.986287099999572,55.0,True
aprima,por_estacion,random_forest,3,508B03E769684B1A2989E27D136EA599A100F976C46CEA79B435CAB743FA536D,563,94,30,8,5,4,,Floración,0.9148936170212766,0.726839826839827,0.9141797918393663,0.4976688999995531,0.060426400000324065,0.5580952999998772,,
