clase_real,Brotación / desarrollo foliar,Cosecha / post-cosecha,Envero / maduración,Floración,Senescencia / caída de hojas
Brotación / desarrollo foliar,123,0,4,0,13
Cosecha / post-cosecha,6,65,14,0,29
Envero / maduración,2,8,164,10,1
Floración,5,0,44,0,0
Senescencia / caída de hojas,40,43,4,0,82
